排名,书名,作者,出版社,年份,评论数,原价,折后价,折扣率,链接,图书分类
108,Python从小白到大牛,关东升,清华大学出版社,2018,0,32.13,10.71,0.3333,https://product.dangdang.com/12490630051.html,Python图书
109,Python接口自动化测试,王浩然,电子工业出版社,2019,0,32.52,10.84,0.3333,https://product.dangdang.com/12460998051.html,Python图书
110,Python数据可视化之Matplotlib与Pyecharts实战其他,王国平,清华大学出版社有限公司,2019,0,89.0,63.41,0.7125,https://product.dangdang.com/12392727257.html,Python图书
111,Python编程:从入门到实战,,黑龙江科学技术出版社,2022,0,68.0,18.8,0.2765,https://product.dangdang.com/12307660397.html,Python图书
112,"PYTHON技术手册 (美)(Martelli,A.) 著 9787564105761",马特利,东南大学出版社,2006,0,98.86,9.43,0.0954,https://product.dangdang.com/12347933560.html,Python图书
113,Python 代码编程 学科项目式编程 六年纪 9787121419843,不详,电子工业出版社,2010,0,32.0,19.36,0.605,https://product.dangdang.com/11572507292.html,Python图书
114,Python3爬虫实战—数据清洗、数据分析与可视化,姚良,中国铁道出版社,2019,0,98.68,9.34,0.0946,https://product.dangdang.com/12346434320.html,Python图书
115,Python高手之路 第3版,朱利安·丹乔,人民邮电出版社,2016,0,102.28,11.14,0.1089,https://product.dangdang.com/12332731184.html,Python图书
116,Python编程轻松入门,,人民邮电出版社,2021,0,89.8,64.86,0.7223,https://product.dangdang.com/11019643177.html,Python图书
117,Python商业数据分析:零售和电子商务案例详解(双色),,电子工业出版社,,0,79.0,59.25,0.75,https://product.dangdang.com/11108163555.html,Python图书
118,Python程序设计,黄建军,清华大学出版社,2023,0,99.78,9.89,0.0991,https://product.dangdang.com/12347353820.html,Python图书
119,"Python 3 程序设计 ,杨洪伟,崔晓松 著 9787115570734",刘德山,人民邮电出版社,2022,0,99.62,9.81,0.0985,https://product.dangdang.com/12387463946.html,Python图书
120,Python数据可视化之matplotlib精进,刘大成,电子工业出版社,2019,0,36.0,12.0,0.3333,https://product.dangdang.com/12395747786.html,Python图书
121,python编程 从入门到精通 学习手册跟我一起玩python编程从入门到精通快速上手基础及应用当当自营同款程自学教程高,,中国青年出版社,2020,1,69.8,19.8,0.2837,https://product.dangdang.com/12301464887.html,Python图书
122,Python绝技:运用Python成为顶级数据工程师,黄文青,电子工业出版社,2018,0,99.38,9.69,0.0975,https://product.dangdang.com/11943160046.html,Python图书
123,Python程序设计基础,赵广辉,高等教育出版社,2021,0,25.95,12.0,0.4624,https://product.dangdang.com/12395746256.html,Python图书
124,"Python网络爬虫 ,陈磊 编 9787115527295",肖睿,人民邮电出版社,2020,0,100.0,10.0,0.1,https://product.dangdang.com/12387873156.html,Python图书
125,Python机器学习基础教程德安德里亚斯 穆勒美莎拉 吉多其他,,人民邮电出版社,2019,0,79.0,59.25,0.75,https://product.dangdang.com/12446234487.html,Python图书
126,Python网络爬虫从入门到实践售后无忧,唐松,机械工业出版社,2017,2,32.44,12.22,0.3767,https://product.dangdang.com/11364044858.html,Python图书
127,"Python编程基础与应用 ,许桂秋 编 9787534188961",韦鹏程,浙江科学技术出版社,2020,0,100.16,10.08,0.1006,https://product.dangdang.com/12388564836.html,Python图书
128,Python数据分析从入门到精通,张啸宇,电子工业出版社,2018,0,100.72,10.36,0.1029,https://product.dangdang.com/11962121620.html,Python图书
129,Python编程基础与应用,韦鹏程,浙江科学技术出版社,2020,0,100.16,10.08,0.1006,https://product.dangdang.com/12457796677.html,Python图书
130,Python项目开发案例集锦,明日科技,吉林大学出版社,2019,1,220.26,10.29,0.0467,https://product.dangdang.com/11737476570.html,Python图书
131,Python程序设计与实战,常鹏飞,北京理工大学出版社,2020,0,100.16,10.08,0.1006,https://product.dangdang.com/12457947207.html,Python图书
132,Python编程自学手册 ... 等 编著其他,史向东,电子工业出版社,2019,0,89.0,66.75,0.75,https://product.dangdang.com/12424627417.html,Python图书
133,Python数据分析实战,内利,人民邮电出版社,2016,0,100.2,10.1,0.1008,https://product.dangdang.com/12302158025.html,Python图书
134,Python学习从入门到实践,,清华大学出版社,2017,0,95.0,12.8,0.1347,https://product.dangdang.com/11845551624.html,Python图书
135,Python从菜鸟到高手 著,李宁,清华大学出版社,2018,1,223.28,10.91,0.0489,https://product.dangdang.com/11737613970.html,Python图书
136,Python带我起飞 入门、进阶、商业实战,李金洪,电子工业出版社,2018,0,101.96,10.98,0.1077,https://product.dangdang.com/11942672586.html,Python图书
137,Python程序设计实践教程ry,储岳中,人民邮电出版社,2020,1,29.8,20.86,0.7,https://product.dangdang.com/11122537586.html,Python图书
